Education,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,NumWebVisitsMonth,Complain,Response,Age,Relationship_Status,Children,Total_Household,Parent,Frequency,Monetary,Avg_Purchase_Value,Loyalty,Income_per_Household_Member,High_Spender,Promo_Responsive,Preferred_Category,Engagement_Score
Post-Grad,3776,19,3,18,3,1,0,8,0,0,40,Single,1,2,1,9,44.0,4.888888888888889,0,8134.5,0,0,Wines,0
Graduate,3778,1224,28,140,0,14,168,6,0,0,53,Attached,1,3,1,14,1574.0,112.42857142857143,0,23939.666666666668,1,1,Wines,2
Post-Grad,3729,16,2,18,3,0,24,8,0,1,41,Attached,1,3,1,5,63.0,12.6,0,11189.666666666666,0,1,Gold,2
Post-Grad,3755,88,39,54,64,28,153,6,0,1,41,Attached,0,2,0,12,426.0,35.5,0,18131.0,1,1,Gold,2
Pre-Grad,4002,2,23,11,8,6,46,8,0,0,58,Attached,0,2,0,6,96.0,16.0,0,11317.0,0,0,Gold,0
Pre-Grad,3763,508,11,59,23,5,29,9,0,0,46,Attached,1,3,1,23,635.0,27.608695652173914,1,15675.0,1,0,Wines,0
Graduate,3739,381,28,215,84,28,21,3,0,0,56,Single,1,2,1,22,757.0,34.40909090909091,1,35283.0,1,0,Wines,0
Post-Grad,4057,74,0,42,2,1,6,7,0,0,45,Attached,1,3,1,9,125.0,13.88888888888889,0,10535.0,0,0,Wines,0
Post-Grad,3881,146,0,93,7,13,73,7,0,0,51,Single,2,3,1,16,332.0,20.75,1,17344.666666666668,0,0,Wines,0
Graduate,3660,23,17,23,43,20,9,3,0,0,45,Single,1,2,1,8,135.0,16.875,0,24263.0,0,0,Fish,0
Graduate,4061,110,5,137,26,23,29,7,0,0,70,Attached,1,3,1,14,330.0,23.571428571428573,0,15578.0,0,0,Meat,0
Graduate,4031,165,3,147,4,24,41,8,0,1,62,Single,2,3,1,20,384.0,19.2,1,13184.0,0,0,Wines,1
Graduate,4163,957,47,494,82,47,95,8,0,0,58,Single,2,3,1,18,1722.0,95.66666666666667,1,28786.0,1,0,Wines,0
Graduate,3539,41,0,17,3,1,16,3,0,0,47,Attached,3,5,1,7,78.0,11.142857142857142,0,9386.2,0,0,Wines,0
Pre-Grad,4006,1,3,4,2,3,11,4,0,0,39,Single,0,1,0,4,24.0,6.0,0,16581.0,0,0,Gold,0
Pre-Grad,3664,176,29,818,0,33,112,4,0,1,72,Single,0,1,0,25,1168.0,46.72,1,63998.0,1,0,Meat,1
Post-Grad,4003,815,8,53,11,0,70,7,0,0,73,Attached,1,3,1,17,957.0,56.294117647058826,1,22460.333333333332,1,1,Wines,1
Graduate,3735,6,1,2,2,0,4,7,0,0,57,Single,2,3,1,4,15.0,3.75,0,8643.333333333334,0,0,Wines,0
Graduate,3495,8,4,20,6,3,16,5,0,0,46,Attached,1,3,1,5,57.0,11.4,0,14231.0,0,0,Meat,0
Graduate,4067,717,42,864,219,30,84,3,0,0,48,Attached,1,3,1,24,1956.0,81.5,1,28535.333333333332,1,1,Meat,0
Graduate,3716,1067,138,750,0,19,39,4,0,1,39,Single,0,1,0,21,2013.0,95.85714285714286,1,72903.0,1,1,Wines,3
Pre-Grad,3509,166,5,107,11,8,29,6,0,0,50,Attached,1,3,1,14,326.0,23.285714285714285,0,16556.333333333332,0,0,Wines,0
Post-Grad,4166,29,4,34,2,4,4,9,0,0,56,Attached,2,4,1,9,77.0,8.555555555555555,0,9194.5,0,0,Meat,0
Post-Grad,3895,714,76,395,116,0,12,1,0,1,62,Single,0,1,0,20,1313.0,65.65,1,85696.0,1,0,Wines,1
Post-Grad,3511,8,4,10,2,2,4,5,0,0,35,Single,0,1,0,8,30.0,3.75,0,10979.0,0,0,Meat,0
Graduate,3985,229,5,56,3,2,20,7,0,0,63,Attached,1,3,1,14,315.0,22.5,0,16559.333333333332,0,0,Wines,0
Post-Grad,3847,320,48,133,39,72,48,4,0,0,71,Attached,1,3,1,22,660.0,30.0,1,18709.666666666668,1,0,Wines,0
Graduate,3987,23,0,26,7,15,3,5,0,0,35,Attached,1,3,1,7,74.0,10.571428571428571,0,12385.0,0,0,Meat,0
Pre-Grad,3522,1,5,8,4,8,20,6,0,0,46,Single,1,2,1,7,46.0,6.571428571428571,0,10641.0,0,0,Gold,0
Post-Grad,3789,56,0,12,0,0,18,7,0,0,62,Single,1,2,1,8,86.0,10.75,0,16709.5,0,0,Wines,0
Graduate,3709,508,124,249,50,38,134,3,0,0,79,Single,0,1,0,25,1103.0,44.12,1,63285.0,1,0,Wines,0
Post-Grad,3632,29,0,25,2,2,3,4,0,0,50,Attached,1,3,1,11,61.0,5.545454545454546,0,7085.0,0,0,Wines,0
Graduate,3695,46,7,59,2,4,27,6,0,1,43,Attached,1,3,1,9,145.0,16.11111111111111,0,14054.0,0,1,Meat,2
Graduate,4126,454,0,171,8,19,32,8,0,0,68,Attached,2,4,1,31,684.0,22.06451612903226,1,13612.5,1,0,Wines,0
Post-Grad,3702,350,3,39,0,0,19,8,0,0,70,Attached,1,3,1,16,411.0,25.6875,1,19248.0,1,0,Wines,0
Graduate,4097,10,0,8,0,0,9,9,0,1,38,Single,1,2,1,4,27.0,6.75,0,13288.0,0,1,Wines,2
Post-Grad,3831,735,40,183,52,20,30,6,0,0,81,Single,0,1,0,27,1060.0,39.25925925925926,1,57513.0,1,0,Wines,0
Graduate,4142,897,126,196,91,112,37,6,0,0,60,Attached,1,3,1,24,1459.0,60.791666666666664,1,22714.0,1,0,Wines,0
Graduate,4142,5,2,3,3,0,5,8,0,0,45,Attached,1,3,1,4,18.0,4.5,0,2500.0,0,0,Wines,0
Graduate,4118,777,35,731,39,137,114,2,0,1,50,Attached,0,2,0,26,1833.0,70.5,1,41572.5,1,1,Wines,2
Post-Grad,3560,162,6,37,6,13,13,1,0,0,64,Attached,1,3,1,12,237.0,19.75,0,18065.666666666668,0,0,Wines,0
Post-Grad,3505,35,0,11,0,0,2,7,0,0,61,Single,2,3,1,10,48.0,4.8,0,7697.0,0,0,Wines,0
Graduate,3816,342,9,112,19,14,19,7,0,1,48,Attached,2,4,1,26,515.0,19.807692307692307,1,11512.25,1,0,Wines,1
Graduate,4044,258,105,239,237,172,9,4,0,0,50,Attached,0,2,0,15,1020.0,68.0,0,28357.5,1,0,Wines,0
Graduate,3504,658,80,483,123,13,13,1,0,0,63,Attached,0,2,0,11,1370.0,124.54545454545455,0,39705.0,1,0,Wines,0
Graduate,3948,356,80,329,138,17,106,5,0,0,73,Attached,1,3,1,25,1026.0,41.04,1,19101.333333333332,1,0,Wines,0
Graduate,3571,213,5,28,7,7,41,5,0,0,59,Attached,1,3,1,12,301.0,25.083333333333332,0,14791.666666666666,0,0,Wines,0
Graduate,4126,454,0,171,8,19,32,8,0,0,68,Attached,2,4,1,31,684.0,22.06451612903226,1,13612.5,1,0,Wines,0
Graduate,4090,457,4,29,0,0,9,7,0,0,59,Attached,1,3,1,17,499.0,29.352941176470587,1,19864.666666666668,1,1,Wines,1
Graduate,4149,241,45,604,34,26,54,2,0,0,30,Attached,0,2,0,21,1004.0,47.80952380952381,1,40342.5,1,0,Meat,0
Post-Grad,3732,210,0,6,0,0,2,7,0,0,50,Attached,1,3,1,12,218.0,18.166666666666668,0,13448.0,0,0,Wines,0
Graduate,3875,441,35,83,7,29,11,4,0,0,52,Attached,1,3,1,22,606.0,27.545454545454547,1,20903.333333333332,1,0,Wines,0
Pre-Grad,3832,19,13,18,10,7,8,3,0,0,56,Attached,1,3,1,6,75.0,12.5,0,16328.333333333334,0,0,Wines,0
Graduate,4149,28,9,37,12,7,13,8,0,0,56,Attached,3,5,1,9,106.0,11.777777777777779,0,7064.4,0,0,Meat,0
Graduate,3869,476,75,162,29,151,97,2,0,0,76,Attached,0,2,0,17,990.0,58.23529411764706,1,38571.0,1,0,Wines,0
Graduate,3631,364,40,425,158,60,50,1,0,0,55,Single,0,1,0,16,1097.0,68.5625,1,81657.0,1,0,Meat,0
Pre-Grad,3605,0,0,2,3,3,8,5,0,0,28,Attached,0,2,0,4,16.0,4.0,0,7210.5,0,1,Gold,1
Pre-Grad,3577,0,6,3,7,6,12,8,0,0,50,Attached,0,2,0,5,34.0,6.8,0,10065.0,0,0,Gold,0
Post-Grad,4145,863,83,547,86,99,33,5,0,0,34,Attached,0,2,0,16,1711.0,106.9375,1,37107.0,1,0,Wines,0
Post-Grad,3641,349,7,35,0,0,47,7,0,0,67,Attached,2,4,1,17,438.0,25.764705882352942,1,16681.5,1,1,Wines,1
Pre-Grad,4010,5,23,15,0,18,14,8,0,0,45,Attached,1,3,1,7,75.0,10.714285714285714,0,7908.0,0,0,Fruits,0
Post-Grad,3701,184,2,19,8,8,4,5,0,0,64,Attached,1,3,1,13,225.0,17.307692307692307,0,15784.333333333334,0,0,Wines,0
Post-Grad,4076,8,0,8,0,0,2,8,0,0,72,Attached,2,4,1,4,18.0,4.5,0,8361.0,0,0,Wines,0
Graduate,3881,277,21,64,62,21,25,3,0,0,43,Attached,1,3,1,17,470.0,27.647058823529413,1,18128.666666666668,1,0,Wines,0
Graduate,3915,44,5,19,0,4,19,5,0,0,43,Single,2,3,1,9,91.0,10.11111111111111,0,9503.333333333334,0,0,Wines,0
Post-Grad,3609,1156,120,915,94,144,96,1,0,0,33,Single,0,1,0,18,2126.0,140.27777777777777,1,90638.0,1,1,Wines,1
Graduate,4005,373,14,83,6,9,19,7,1,0,74,Attached,1,3,1,19,504.0,26.526315789473685,1,16023.333333333334,1,0,Wines,1
Graduate,4013,134,8,76,6,0,11,6,0,0,67,Attached,1,3,1,11,235.0,21.363636363636363,0,14380.0,0,0,Wines,0
Post-Grad,3999,1148,0,60,0,0,24,7,0,1,63,Single,1,2,1,21,1232.0,58.666666666666664,1,27479.5,1,1,Wines,2
Pre-Grad,3895,6,12,3,21,6,40,5,0,0,66,Single,2,3,1,12,88.0,7.333333333333333,0,5018.666666666667,0,0,Gold,0
Graduate,3525,4,1,11,0,0,1,7,0,0,53,Single,1,2,1,4,17.0,4.25,0,13477.0,0,0,Meat,0
Graduate,3804,5,4,8,2,0,5,5,0,0,39,Single,1,2,1,5,24.0,4.8,0,11163.5,0,0,Meat,0
Graduate,3784,24,2,20,2,2,10,4,0,0,59,Attached,2,4,1,7,60.0,8.571428571428571,0,11098.25,0,0,Wines,0
Post-Grad,3781,899,0,101,0,0,20,4,0,0,72,Single,1,2,1,26,1020.0,39.23076923076923,1,31000.0,1,1,Wines,0
Post-Grad,4043,108,1,28,13,1,4,8,0,0,62,Attached,1,3,1,10,155.0,15.5,0,10499.0,0,0,Wines,0
Pre-Grad,3595,27,2,7,0,2,13,5,0,0,50,Attached,2,4,1,5,51.0,10.2,0,11473.5,0,0,Wines,0
Post-Grad,4027,816,66,549,216,66,99,3,0,1,54,Single,0,1,0,16,1812.0,113.25,1,78579.0,1,0,Wines,1
Post-Grad,4062,1298,0,70,37,14,42,4,0,1,55,Single,1,2,1,25,1461.0,58.44,1,33684.5,1,1,Wines,3
Graduate,3543,10,0,11,17,29,29,4,0,0,64,Single,1,2,1,6,96.0,16.0,0,29200.5,0,0,Sweet,0
Graduate,3605,87,13,34,10,6,10,5,0,0,72,Single,1,2,1,9,160.0,17.77777777777778,0,31153.5,0,0,Wines,0
Post-Grad,3906,57,2,51,4,2,23,6,0,0,55,Attached,2,4,1,10,139.0,13.9,0,10910.25,0,0,Wines,0
Post-Grad,3907,635,15,100,20,7,131,6,0,0,56,Single,1,2,1,22,908.0,41.27272727272727,1,31920.5,1,0,Wines,0
Pre-Grad,3774,43,12,23,29,15,61,4,0,0,59,Attached,1,3,1,8,183.0,22.875,0,15630.333333333334,0,0,Gold,0
Post-Grad,3928,964,34,137,15,0,11,8,0,0,55,Attached,1,3,1,19,1161.0,61.10526315789474,1,23363.666666666668,1,1,Wines,1
Post-Grad,3558,572,8,259,34,35,80,1,0,0,52,Attached,0,2,0,14,988.0,70.57142857142857,0,39037.5,1,0,Wines,0
Pre-Grad,4131,341,142,113,259,151,66,5,0,0,63,Single,1,2,1,27,1072.0,39.7037037037037,1,29592.0,1,0,Wines,0
Graduate,3764,63,6,57,13,13,22,4,0,0,47,Attached,2,4,1,12,174.0,14.5,0,13702.25,0,0,Wines,0
Graduate,3993,221,104,169,102,78,84,7,1,0,65,Attached,1,3,1,22,758.0,34.45454545454545,1,19371.0,1,0,Wines,1
Post-Grad,3653,140,3,29,4,5,14,4,0,0,66,Attached,1,3,1,11,195.0,17.727272727272727,0,17137.333333333332,0,0,Wines,0
Graduate,4100,1,2,8,4,3,13,7,0,1,45,Single,1,2,1,6,31.0,5.166666666666667,0,7643.5,0,1,Gold,2
Post-Grad,3789,291,10,689,84,10,0,1,0,0,67,Attached,0,2,0,17,1084.0,63.76470588235294,1,33318.0,1,0,Meat,0
Post-Grad,3967,544,13,85,8,6,29,8,0,0,68,Attached,1,3,1,22,685.0,31.136363636363637,1,16988.333333333332,1,1,Wines,1
Post-Grad,3692,684,100,801,21,66,0,2,0,0,59,Attached,0,2,0,26,1672.0,64.3076923076923,1,42309.0,1,1,Meat,1
Graduate,3716,1,12,9,0,14,7,7,0,0,34,Attached,0,2,0,6,43.0,7.166666666666667,0,9175.5,0,0,Sweet,0
Post-Grad,3606,35,0,4,0,0,10,5,0,0,67,Attached,2,4,1,5,49.0,9.8,0,10112.75,0,1,Wines,1
Graduate,3876,87,3,25,3,2,13,7,0,0,59,Attached,1,3,1,9,133.0,14.777777777777779,0,12105.666666666666,0,0,Wines,0
Graduate,3733,309,3,24,4,3,20,7,0,0,67,Attached,1,3,1,15,363.0,24.2,0,14071.0,0,1,Wines,1
Graduate,3913,172,73,93,95,78,34,1,1,0,69,Attached,1,3,1,18,545.0,30.27777777777778,1,21916.0,1,0,Wines,1
Graduate,3718,625,38,242,50,34,76,4,0,0,52,Attached,1,3,1,31,1065.0,34.354838709677416,1,25681.333333333332,1,1,Wines,1
Graduate,3947,972,59,913,25,19,59,3,0,0,55,Attached,0,2,0,21,2047.0,97.47619047619048,1,37459.0,1,1,Wines,1
Graduate,4079,157,6,39,6,13,75,6,0,0,52,Attached,2,4,1,15,296.0,19.733333333333334,0,14180.25,0,0,Wines,0
Graduate,3839,48,9,45,3,15,20,6,0,1,49,Single,2,3,1,11,140.0,12.727272727272727,0,14053.333333333334,0,0,Wines,1
Graduate,3820,279,83,88,32,14,34,3,0,0,59,Single,1,2,1,17,530.0,31.176470588235293,1,30779.5,1,0,Wines,0
Post-Grad,4163,132,0,16,0,0,4,9,0,0,61,Attached,2,4,1,13,152.0,11.692307692307692,0,8407.25,0,0,Wines,0
Post-Grad,3739,919,0,505,99,30,45,2,0,0,33,Attached,0,2,0,24,1598.0,66.58333333333333,1,34341.0,1,0,Wines,0
Graduate,3999,62,0,22,3,1,26,7,0,0,61,Single,1,2,1,8,114.0,14.25,0,17188.5,0,0,Wines,0
Pre-Grad,4149,1,45,3,4,6,42,8,0,0,38,Single,1,2,1,10,101.0,10.1,0,4470.0,0,0,Fruits,0
Graduate,3753,2,6,4,3,1,9,8,0,0,51,Attached,1,3,1,4,25.0,6.25,0,8742.666666666666,0,0,Gold,0
Pre-Grad,3992,408,61,109,48,122,41,4,0,0,67,Single,0,1,0,22,789.0,35.86363636363637,1,77297.0,1,1,Wines,0
Graduate,3807,51,1,7,2,1,25,8,0,0,43,Attached,2,4,1,7,87.0,12.428571428571429,0,10052.75,0,1,Wines,1
Post-Grad,3753,62,1,16,3,2,6,5,0,0,66,Single,2,3,1,11,90.0,8.181818181818182,0,11146.0,0,0,Wines,0
Post-Grad,3900,952,12,180,47,12,12,3,0,0,65,Attached,1,3,1,20,1215.0,60.75,1,25010.666666666668,1,0,Wines,0
Post-Grad,3733,618,15,106,20,7,45,6,0,0,69,Single,0,1,0,22,811.0,36.86363636363637,1,61284.0,1,1,Wines,1
Graduate,4088,11,7,12,2,2,27,5,0,1,38,Attached,1,3,1,7,61.0,8.714285714285714,0,7506.0,0,1,Gold,2
Post-Grad,3791,318,3,17,4,7,56,4,0,0,49,Attached,1,3,1,18,405.0,22.5,1,18243.333333333332,1,0,Wines,0
Post-Grad,3564,56,0,14,0,0,2,7,0,0,69,Attached,2,4,1,9,72.0,8.0,0,9613.0,0,0,Wines,0
Graduate,3972,110,5,59,7,1,7,8,0,0,53,Single,2,3,1,14,189.0,13.5,0,14807.0,0,0,Wines,0
Post-Grad,3838,23,0,11,2,1,3,5,0,0,38,Attached,1,3,1,5,40.0,8.0,0,12732.333333333334,0,0,Wines,0
Graduate,3613,27,5,8,8,3,12,4,0,0,46,Single,1,2,1,10,63.0,6.3,0,20993.0,0,0,Wines,0
Graduate,3938,18,3,19,3,3,6,8,0,0,41,Attached,1,3,1,7,52.0,7.428571428571429,0,9475.666666666666,0,0,Meat,0
Post-Grad,3531,18,0,9,0,1,11,6,0,0,48,Attached,1,3,1,5,39.0,7.8,0,12465.0,0,0,Wines,0
Graduate,3507,303,0,280,60,147,15,6,0,0,53,Attached,1,3,1,25,805.0,32.2,1,21574.0,1,0,Wines,0
Post-Grad,3546,97,1,19,2,0,11,3,0,0,68,Attached,1,3,1,8,130.0,16.25,0,18416.333333333332,0,0,Wines,0
Graduate,3741,997,15,414,99,30,76,2,0,0,52,Attached,0,2,0,24,1631.0,67.95833333333333,1,42453.0,1,1,Wines,2
Graduate,3833,5,4,13,8,0,4,8,0,0,35,Attached,1,3,1,5,34.0,6.8,0,9563.666666666666,0,0,Meat,0
Graduate,3685,95,11,35,0,4,7,6,0,0,72,Single,2,3,1,12,152.0,12.666666666666666,0,14737.666666666666,0,0,Wines,0
Pre-Grad,3635,1,6,2,3,6,3,7,0,0,40,Single,1,2,1,5,21.0,4.2,0,12853.5,0,0,Fruits,0
Post-Grad,3742,46,1,12,3,0,9,4,0,0,57,Attached,3,5,1,7,71.0,10.142857142857142,0,11812.4,0,0,Wines,0
Graduate,3509,411,106,147,54,115,66,1,0,0,62,Single,1,2,1,23,899.0,39.08695652173913,1,38312.0,1,1,Wines,1
Post-Grad,3543,244,51,270,101,0,45,1,0,0,77,Attached,0,2,0,10,711.0,71.1,0,33000.0,1,0,Meat,0
Post-Grad,4167,152,9,121,12,12,45,8,0,0,46,Attached,1,3,1,16,351.0,21.9375,1,9227.666666666666,0,0,Wines,0
Graduate,3515,1,1,3,1,1,1,20,0,0,53,Single,0,1,0,15,8.0,0.5333333333333333,0,1730.0,0,0,Meat,0
Pre-Grad,4046,10,17,18,8,26,40,9,0,0,32,Single,1,2,1,11,119.0,10.818181818181818,0,3750.0,0,0,Gold,0
Graduate,3923,12,0,5,0,0,4,5,0,0,56,Attached,2,4,1,4,21.0,5.25,0,10130.25,0,0,Wines,0
Post-Grad,3570,5,0,4,0,0,1,8,0,0,51,Attached,1,3,1,4,10.0,2.5,0,6809.0,0,0,Wines,0
Graduate,3509,790,19,133,12,0,19,6,0,0,49,Attached,1,3,1,27,973.0,36.03703703703704,1,21702.0,1,1,Wines,1
Post-Grad,3779,882,29,514,38,29,44,3,0,1,59,Attached,0,2,0,13,1536.0,118.15384615384616,0,34984.5,1,1,Wines,2
Graduate,3821,615,28,259,12,48,30,4,0,0,72,Attached,2,4,1,28,992.0,35.42857142857143,1,16858.25,1,1,Wines,1
Post-Grad,3965,1004,59,265,115,59,27,6,0,1,57,Attached,1,3,1,34,1529.0,44.970588235294116,1,25922.0,1,1,Wines,2
Graduate,3763,133,27,421,13,195,71,4,0,0,52,Attached,1,3,1,17,860.0,50.588235294117645,1,24905.333333333332,1,0,Meat,0
Graduate,3727,595,23,123,10,23,154,6,0,0,61,Single,1,2,1,23,928.0,40.34782608695652,1,34059.0,1,0,Wines,0
Post-Grad,4172,293,0,87,4,11,23,7,0,1,54,Attached,2,4,1,18,418.0,23.22222222222222,1,13789.5,1,0,Wines,1
Pre-Grad,4168,313,15,47,20,0,192,6,0,1,69,Attached,1,3,1,16,587.0,36.6875,1,20990.666666666668,1,0,Wines,1
Graduate,3521,151,81,86,168,91,64,2,0,0,49,Attached,1,3,1,19,641.0,33.73684210526316,1,24730.0,1,0,Fish,0
Graduate,3575,15,0,2,0,0,6,6,0,0,48,Attached,2,4,1,4,23.0,5.75,0,9839.0,0,1,Wines,1
Graduate,3790,736,63,946,219,189,126,2,0,0,55,Attached,0,2,0,23,2126.0,99.08695652173913,1,38326.5,1,1,Meat,1
Post-Grad,3514,15,0,8,4,2,20,5,0,0,51,Single,2,3,1,6,49.0,8.166666666666666,0,11953.333333333334,0,1,Gold,1
Post-Grad,3876,982,17,672,23,34,51,2,0,1,41,Single,0,1,0,17,1779.0,104.6470588235294,1,90687.0,1,1,Wines,2
Post-Grad,3679,1142,51,415,90,69,37,3,0,0,42,Attached,0,2,0,27,1804.0,66.81481481481481,1,36725.0,1,1,Wines,1
Graduate,3831,28,0,11,0,0,9,8,0,0,64,Attached,2,4,1,8,48.0,6.0,0,7863.5,0,0,Wines,0
Graduate,3588,46,0,12,0,2,23,7,0,1,72,Single,2,3,1,7,83.0,11.857142857142858,0,15713.0,0,0,Wines,1
Graduate,3737,897,161,430,186,161,27,1,0,1,49,Single,0,1,0,17,1862.0,109.52941176470588,1,83829.0,1,1,Wines,3
Post-Grad,4116,489,6,152,8,6,132,8,0,1,61,Attached,2,4,1,29,793.0,27.344827586206897,1,13344.5,1,0,Wines,1
Graduate,3979,25,4,9,6,8,32,7,0,0,54,Attached,1,3,1,9,84.0,9.333333333333334,0,6552.0,0,0,Gold,0
Post-Grad,3786,145,1,33,2,1,1,6,0,0,76,Attached,1,3,1,10,183.0,18.3,0,15193.0,0,0,Wines,0
Pre-Grad,3481,630,26,611,44,18,54,2,0,0,66,Single,0,1,0,19,1383.0,72.78947368421052,1,85485.0,1,0,Wines,0
Graduate,3556,760,38,104,50,9,38,4,0,0,80,Attached,0,2,0,16,999.0,62.4375,1,27978.0,1,1,Wines,1
Post-Grad,3996,420,15,186,151,38,15,3,0,0,61,Single,1,2,1,24,825.0,34.375,1,32095.5,1,0,Wines,0
Graduate,4145,125,17,52,3,19,30,8,0,1,52,Single,1,2,1,14,246.0,17.571428571428573,0,19404.0,0,1,Wines,2
Post-Grad,3940,464,5,64,7,0,70,8,0,0,58,Attached,2,4,1,25,610.0,24.4,1,14295.75,1,0,Wines,0
Post-Grad,4058,6,6,29,12,15,8,8,0,0,56,Single,1,2,1,9,76.0,8.444444444444445,0,11874.0,0,0,Meat,0
Graduate,3961,1090,12,96,16,12,60,8,0,0,53,Attached,1,3,1,22,1286.0,58.45454545454545,1,22101.0,1,1,Wines,1
Post-Grad,3668,3,2,11,2,2,10,6,0,0,49,Attached,1,3,1,4,30.0,7.5,0,12456.0,0,1,Meat,1
Graduate,4017,24,0,27,8,30,10,7,1,0,60,Attached,3,5,1,8,99.0,12.375,0,8160.0,0,0,Sweet,1
Graduate,4119,737,21,106,55,63,210,3,0,0,46,Single,0,1,0,22,1192.0,54.18181818181818,1,71847.0,1,1,Wines,0
Graduate,3685,254,6,71,4,0,27,5,0,0,49,Attached,1,3,1,18,362.0,20.11111111111111,1,15383.0,0,0,Wines,0
Graduate,4162,817,185,687,145,55,241,2,0,1,41,Attached,0,2,0,19,2126.0,112.10526315789474,1,39343.5,1,1,Wines,2
Pre-Grad,4153,620,54,239,99,98,119,7,0,1,53,Single,0,1,0,28,1229.0,43.892857142857146,1,49118.0,1,1,Wines,2
Post-Grad,4120,13,4,20,0,0,1,9,0,0,67,Attached,2,4,1,6,38.0,6.333333333333333,0,9408.25,0,0,Meat,0
Post-Grad,3816,113,61,204,34,26,47,8,0,0,73,Attached,0,2,0,17,485.0,28.529411764705884,1,19883.5,1,0,Meat,0
Pre-Grad,4074,7,23,78,133,49,144,7,0,0,73,Attached,0,2,0,13,434.0,33.38461538461539,0,13498.5,1,0,Gold,0
Graduate,3945,16,2,18,2,1,5,7,0,0,54,Single,1,2,1,5,44.0,8.8,0,16993.0,0,0,Meat,0
Post-Grad,4056,462,0,24,6,0,4,7,0,1,52,Attached,1,3,1,18,496.0,27.555555555555557,1,19030.333333333332,1,1,Wines,2
Pre-Grad,3859,22,2,10,6,4,34,4,0,0,55,Attached,2,4,1,7,78.0,11.142857142857142,0,11707.75,0,0,Gold,0
Post-Grad,3977,968,147,842,137,42,210,2,0,1,52,Attached,0,2,0,23,2126.0,102.0,1,41575.5,1,1,Wines,3
Graduate,4019,283,112,151,51,72,125,6,0,0,53,Attached,0,2,0,21,794.0,37.80952380952381,1,26265.5,1,0,Wines,0
Graduate,3770,1,2,5,6,0,3,7,0,0,68,Attached,0,2,0,4,17.0,4.25,0,7879.5,0,0,Fish,0
Graduate,3806,14,1,7,2,1,1,9,0,0,53,Single,1,2,1,5,26.0,5.2,0,11402.0,0,0,Wines,0
Pre-Grad,3576,30,5,24,6,3,8,5,0,0,51,Attached,1,3,1,8,76.0,9.5,0,14350.0,0,0,Wines,0
Post-Grad,3677,4,0,5,0,1,5,7,0,0,47,Single,2,3,1,4,15.0,3.75,0,14332.333333333334,0,0,Meat,0
Post-Grad,3551,52,0,9,0,0,1,4,0,0,61,Single,2,3,1,7,62.0,8.857142857142858,0,16306.0,0,0,Wines,0
Post-Grad,3565,62,1,57,19,11,48,2,0,0,70,Attached,1,3,1,10,198.0,19.8,0,20011.0,0,0,Wines,0
Post-Grad,3720,20,2,14,3,0,10,9,0,0,46,Attached,1,3,1,5,49.0,9.8,0,11347.666666666666,0,0,Wines,0
Graduate,3843,545,7,114,37,21,78,5,0,0,58,Attached,1,3,1,25,802.0,32.08,1,19270.333333333332,1,1,Wines,1
Graduate,3603,558,79,622,207,175,95,1,0,1,78,Attached,0,2,0,15,1736.0,115.73333333333333,0,39284.5,1,1,Meat,2
Graduate,4022,6,5,4,13,4,25,6,0,0,46,Single,2,3,1,10,57.0,5.7,0,2500.0,0,0,Gold,0
Post-Grad,3863,39,1,9,2,0,8,1,0,0,53,Attached,1,3,1,2,59.0,29.5,0,52577.666666666664,0,0,Wines,0
Graduate,3955,1111,24,790,160,45,172,2,0,1,71,Attached,0,2,0,18,2126.0,127.88888888888889,1,47192.0,1,1,Wines,3
Pre-Grad,3604,4,6,8,6,3,10,7,0,0,39,Attached,0,2,0,6,37.0,6.166666666666667,0,11574.0,0,0,Gold,0
Graduate,3962,183,5,65,3,5,49,9,0,0,54,Single,2,3,1,16,310.0,19.375,1,14755.666666666666,0,0,Wines,0
Graduate,4078,546,72,376,94,145,72,3,0,0,45,Attached,0,2,0,19,1305.0,68.6842105263158,1,35813.0,1,1,Wines,1
Graduate,3839,606,7,155,10,0,54,7,0,0,58,Attached,1,3,1,26,832.0,32.0,1,20298.0,1,0,Wines,0
Graduate,3925,266,6,51,8,6,64,8,0,0,48,Attached,2,4,1,19,401.0,21.105263157894736,1,12550.0,1,0,Wines,0
Post-Grad,3510,1142,29,249,38,29,14,2,0,0,59,Attached,0,2,0,23,1501.0,65.26086956521739,1,40525.5,1,1,Wines,2
Graduate,3639,1074,0,69,0,0,46,6,0,1,42,Attached,0,2,0,28,1189.0,42.464285714285715,1,32584.5,1,1,Wines,3
Graduate,3815,771,51,154,54,10,154,6,0,0,52,Attached,1,3,1,32,1194.0,37.3125,1,19956.0,1,0,Wines,0
Post-Grad,3622,371,32,189,0,58,6,4,0,0,64,Attached,1,3,1,21,656.0,31.238095238095237,1,21898.333333333332,1,0,Wines,0
Post-Grad,4056,556,14,717,210,0,43,4,0,0,68,Single,0,1,0,23,1540.0,66.95652173913044,1,64857.0,1,0,Meat,0
Post-Grad,3780,202,5,74,11,5,14,7,0,0,59,Attached,1,3,1,15,311.0,20.733333333333334,0,15047.666666666666,0,0,Wines,0
Pre-Grad,3708,209,162,209,41,162,37,2,0,0,69,Attached,1,3,1,26,820.0,31.53846153846154,1,24935.0,1,0,Wines,0
